feature,builtin_importance,builtin_importance_percent,index,permutation_macro_f1_drop_mean,permutation_macro_f1_drop_std,shap_mean_abs,shap_importance_percent,permutation_normalized,builtin_normalized,shap_normalized,mean_normalized_importance,shap_sample_rows,shap_sample_note
Age,0.09129983033491165,9.129983033491165,1,0.10261630202835921,0.002428228966741304,0.02995274120974385,8.151302254279134,0.5465806423246491,1.0,0.7402813581913864,0.7622873335053452,1000,stratified deterministic sample from final model dataset
Vote weekday,0.09113270772660734,9.113270772660732,29,0.09647442086526845,0.004724743928843686,0.02735833435844755,7.445263555937588,0.5138662169863041,0.9981695189608648,0.6761606483662076,0.7293987947711256,1000,stratified deterministic sample from final model dataset
CLO,0.07108043605134287,7.108043605134286,3,0.07727754138891665,0.005352861037723065,0.020257555945321915,5.512866428050721,0.41161499074436186,0.7785385338680395,0.5006650617995022,0.5636061954706345,1000,stratified deterministic sample from final model dataset
RH,0.06371978085767996,6.371978085767995,21,0.041331991539798454,0.0017682434413152923,0.013326300940325598,3.6266031925231976,0.22015280260378745,0.6979178452351898,0.3293592426379378,0.4158099634923051,1000,stratified deterministic sample from final model dataset
Temperature,0.052814551675263395,5.281455167526338,25,0.037062799250684765,0.002912441377836034,0.011884657408947187,3.234276090142031,0.19741316165525355,0.5784737110849583,0.2937290536023693,0.35653864211419367,1000,stratified deterministic sample from final model dataset
Lighting,0.05155695059750741,5.155695059750739,9,0.03429402182915213,0.002334553243884601,0.009222417416221292,2.509777363892587,0.1826654060686504,0.5646993034749684,0.22793184913797676,0.3250988528938652,1000,stratified deterministic sample from final model dataset
Gender,0.04859958246117532,4.859958246117531,7,0.187742291040393,0.004727361023769596,0.0347030104070424,9.444034687188353,1.0,0.5323074783698868,0.8576841597756008,0.7966638793818291,1000,stratified deterministic sample from final model dataset
LocationFront,0.04719564157049184,4.719564157049183,13,0.08919525615654592,0.0029370696033130025,0.02054867693313658,5.5920917366001,0.47509410725873924,0.5169302220756149,0.507860110785114,0.4999614800398227,1000,stratified deterministic sample from final model dataset
EA,0.046771238875740306,4.67712388757403,6,0.022612921800903595,0.00087467357779552,0.007357880564333783,2.0023645919679582,0.12044660622596959,0.5122817720927977,0.18184986073338422,0.27152607968405046,1000,stratified deterministic sample from final model dataset
LocationMiddle,0.04167184135274806,4.167184135274805,17,0.06006831693670252,0.003890628295359896,0.012278492842920555,3.341453982084615,0.3199509103879996,0.45642846432337114,0.30346268792732567,0.3599473542128988,1000,stratified deterministic sample from final model dataset
CO2,0.040474103461105554,4.047410346110555,5,0.022748947661142327,0.0022208891527010165,0.004694515477541292,1.2775596839992152,0.12117114122277256,0.44330973357382986,0.11602484959320597,0.22683524146326942,1000,stratified deterministic sample from final model dataset
LocationBack,0.039285779683834995,3.928577968383499,11,0.053606057250918514,0.0023544102480702973,0.0167359699304057,4.554506329353434,0.28553000474136697,0.4302941148929246,0.41362913878148133,0.37648441947192435,1000,stratified deterministic sample from final model dataset
Sound,0.03818792627838747,3.8187926278387465,22,0.021092055831895794,0.0027928155653101526,0.004330276876854593,1.1784362379652635,0.11234578908679563,0.41826941121691213,0.10702270036973645,0.2125459668911481,1000,stratified deterministic sample from final model dataset
Vote hour,0.03703272518521312,3.7032725185213113,28,0.02098621722400158,0.0016802941326091519,0.004624341966852739,1.2584627508717656,0.11178204499212363,0.40561658274026796,0.11429051277782694,0.21056304683673954,1000,stratified deterministic sample from final model dataset
LocationLeft,0.03702703435888127,3.7027034358881266,15,0.0957572081760771,0.003080862219528989,0.02623673259517865,7.14003222778245,0.5100460191756945,0.4055542515583701,0.6484402847825081,0.5213468518388575,1000,stratified deterministic sample from final model dataset
LocationRight,0.03689883489303217,3.689883489303216,19,0.04327315355768584,0.0022024415295364744,0.013242679699241418,3.603846610540199,0.23049230579792787,0.4041500926965318,0.3272925454535309,0.3206449813159969,1000,stratified deterministic sample from final model dataset
Moment,0.028502676001386056,2.8502676001386047,20,0.029714906560173483,0.0018146233347545468,0.007994136114972183,2.1755143971193234,0.1582749757420414,0.31218761192469674,0.1975749030553932,0.2226791635740438,1000,stratified deterministic sample from final model dataset
AC on/off,0.026330856490755554,2.6330856490755545,0,0.08543876605459635,0.0019108108456066582,0.022873619716749623,6.224798814073529,0.4550853490768049,0.28839984033011984,0.5653210219424019,0.4362687371164422,1000,stratified deterministic sample from final model dataset
Ttrend,0.01672334561487274,1.6723345614872738,26,0.010394238744102457,0.00042522370915069326,0.0017640789598943065,0.4800742844142452,0.05536439704928349,0.18316951470256992,0.0435991737531716,0.09404436183500835,1000,stratified deterministic sample from final model dataset
Student,0.01202361763092017,1.2023617630920167,24,0.02524937070214057,0.001038444871768826,0.010549986767137897,2.871060458720586,0.13448952051356472,0.13169375656903629,0.260742697243929,0.17564199144217665,1000,stratified deterministic sample from final model dataset
